Biggs L. & Noy M., (1994)., Matematica discreta., Vicens Vives.,Facultad de Ciencias.,Tema 1: “Logica proposicional y calculo de predicados”. 5: “Teoria de la computabilidad”.,
Bogart K. P.- Villagomez Velazquez H. & Bogart K. P., (1996)., Matematicas discretas., Limusa.,Facultad de Quimica (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”.,
Bogart K. Villagomez Velazquez H & Bogart P., (1996)., Matematicas discretas., Limusa.,Facultad de Ciencias.,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”.,
Bogart K. Villagomez Velazquez H & Bogart P., (1996)., Matematicas discretas., Limusa.,Facultad de Contaduria y Administracion.,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”.,
Epp S. Garcia Hernandez E. & Epp S., (2012)., Matematicas discretas con aplicaciones (Cuarta edicion)., Cengage Learning.,Facultad de Ciencias.,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 4: “Teoria de graficas” y 5: “Teoria de la computabilidad”.,
Espinosa Armenta R., (2010)., Matematicas discretas., Alfaomega.,Facultad de Economia (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ” y Tema 4 “teoria de Graficas”.,
Ferrando C. & Gregori V., (1995)., Matematica discreta (2a ed.)., Reverte.,Facultad de Ciencias.,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 3: “Sistemas algebraicos” y 5: “Teoria de la computabilidad”.,
Ferrando J. & Gregori V., (1994)., Matematica discreta., Reverte.,Facultad de Ciencias.,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 3: “Sistemas algebraicos” y 5: “Teoria de la computabilidad”.,
Garcia Merayo F., (2015)., Matematica discreta (3a edicion)., Paraninfo.,Facultad de Ciencias.,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”.,
Johnsonbaugh R. & Gonzalez Osuna M. A., (2005)., Matematicas discretas (Sexta edicon)., Pearson Educacion.,Facultad de Economia (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”.  Tema 3 “Sistemas Algebraicos ”. Tema 4 “teoria de Graficas”.,
Lipschutz S.- Lars Lipson M. & Villagomez Velazquez H., (2009)., Matematicas discretas., McGraw-Hill Interamericana.,Facultad de Quimica (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ”. Tema 4 “teoria de Graficas” y Tema 5 “Teoria de Computabilidad”.,
Miranda E. & Viso Gurovich E., (2010)., Matematicas discretas., UNAM., Facultad de Ciencias.,Tema 2 “Conjunto relaciones y pruebas matematicas”. Tema 3 “Sistemas algebraicos” y Tema 4 “teoria de Graficas”.,
Moreno Garcia J.J. & Pazos Sierra J., (2015)., Matematica discreta (2.ª edicion)., Centro de Estudios Financieros.,Facultad de Economia (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”.  Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”.,
Ross A. Wright B. Oteyza M. Ross A., (1990)., Matematicas discretas (2nd ed.)., Prentice Hall.,Facultad de Ciencias.,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 3: “Sistemas algebraicos”.,
Ross K. A.- Oteyza M. & Ross K. A., (1990)., Matematicas discretas (2nd ed.)., Prentice Hall.,Instituto de Matematicas(UNAM).,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 3: “Sistemas algebraicos”.,
Ross K. A.- Wright C. R. B.- Oteyza M. & Ross K. A., (1990)., Matematicas discretas (2nd ed.)., Prentice Hall.,Facultad de Contaduria y Administracion.,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 3: “Sistemas algebraicos”.,
Ross K. A.- Wright C. R. B.- Oteyza M. & Ross K. A., (1990)., Matematicas discretas (2nd ed.)., Prentice Hall.,Facultad de Economia (Division de Estudios Profesionales).,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 3: “Sistemas algebraicos”.,
Tremblay J.P.- Rama M. & Rangel Gutiérrez R. H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Instituto de Matematicas(UNAM).,Tema 1: “Logica Proposicional y Calculo de Predicados” y  Tema 5: “Teoria de la computabilidad”.,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ciencias.,Tema 1: “Logica Proposicional y Calculo de Predicados” y  Tema 5: “Teoria de la computabilidad”.,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Contaduria y Administracion.,Tema 1: “Logica Proposicional y Calculo de Predicados” y  Tema 5: “Teoria de la computabilidad”.,
Trias Pairo J., (2001)., Matemàtica discreta: problemes resolts., Universitat Politècnica de Catalunya.,Facultad de Ciencias.,Tema 1 “Logica proposicional y calculo de predicados”. Tema 3 “Sistemas algebraicos”.,
